#	"Day"	"Source city ID"	"Target city ID"	"Value"
131	262	1050	16
131	473	316	16
131	596	216	16
131	596	3163	16
131	1090	1051	8
131	1090	1106	16
131	1377	1392	16
131	1535	494	16
131	1612	1578	8
131	1612	3057	8
131	1714	1702	2
131	1961	1971	8
131	1961	1972	16
131	1980	133	2
131	2042	1960	16
131	2042	3108	16
131	2217	2145	16
131	2331	2337	16
131	3046	3061	16
131	3151	1130	16
132	262	50	2
132	262	250	2
132	262	1098	2
132	473	353	2
132	538	527	16
132	538	546	2
132	596	394	2
132	596	441	16
132	596	1635	16
132	596	2807	2
132	596	2913	2
132	596	3132	8
132	1173	1164	2
132	1173	2913	2
132	1369	1364	16
132	1462	1461	2
132	1612	1577	16
132	1612	1634	16
132	1648	1575	2
132	1648	1617	16
132	1936	2029	2
132	2532	1145	8
132	2777	807	2
132	2821	525	8
132	2821	1248	10
132	3093	914	16
132	3205	3194	2
133	224	1118	8
133	262	1065	2
133	279	53	8
133	473	339	2
133	473	472	2
133	596	68	8
133	596	905	8
133	596	1209	16
133	596	1627	2
133	596	3126	8
133	600	605	8
133	789	288	2
133	1612	1663	2
133	1961	2039	8
133	1976	2043	8
133	2393	712	8
133	2899	277	2
133	3181	2962	2
134	96	88	8
134	173	194	2
134	197	489	2
134	256	254	16
134	262	159	2
134	262	248	8
134	262	2848	16
134	473	350	16
134	473	370	8
134	473	448	2
134	473	449	2
134	512	509	2
134	538	530	16
134	538	545	16
134	596	964	8
134	596	1161	2
134	645	795	2
134	791	82	16
134	1085	1058	16
134	1535	16	8
134	1535	1449	16
134	1612	1315	8
134	2044	1942	16
134	2803	2808	16
134	3250	3241	2
135	182	169	16
135	256	1751	16
135	262	1043	16
135	473	423	2
135	596	191	16
135	596	283	24
135	596	769	2
135	596	1071	8
135	733	910	2
135	791	1176	16
135	1090	1071	16
135	1314	1266	2
135	1535	819	8
135	1714	1711	2
135	2034	1989	16
135	2042	723	8
135	2777	2721	2
135	2821	181	16
136	182	180	16
136	262	2940	8
136	262	3178	8
136	296	300	18
136	473	451	16
136	473	482	8
136	596	717	16
136	596	1117	2
136	596	1295	8
136	596	2914	2
136	596	2993	8
136	1196	1232	8
136	1936	1969	2
136	1946	2003	2
136	2042	2007	2
136	2346	2340	8
136	2511	3152	16
136	3085	3094	16
136	3093	3094	2
137	90	86	2
137	224	1119	16
137	473	344	2
137	473	435	16
137	473	465	24
137	596	495	2
137	596	657	16
137	596	1331	16
137	596	1426	2
137	596	1640	16
137	596	2538	8
137	596	3033	16
137	791	3089	2
137	1129	1138	2
137	1354	1498	16
137	1377	1375	16
137	1535	1700	2
137	1595	1646	8
137	1595	1677	16
137	1615	1593	8
137	2014	2037	2
137	2346	2472	2
137	3205	3183	8
138	90	97	16
138	473	434	18
138	473	439	8
138	473	1286	16
138	538	535	10
138	596	380	16
138	596	967	2
138	596	1661	2
138	596	3128	16
138	1173	1144	8
138	1603	1613	8
138	1612	1609	2
138	1612	3053	16
138	1684	2991	16
138	1961	1956	16
138	1990	1518	16
138	2375	205	8
138	2511	1739	16
138	2925	2850	8
138	3141	3107	16
138	3205	3199	16
139	182	178	8
139	182	179	2
139	412	398	8
139	473	3115	16
139	538	521	2
139	538	833	16
139	596	77	16
139	596	249	2
139	596	268	8
139	596	825	16
139	596	1114	2
139	596	1262	16
139	596	1338	18
139	596	1737	18
139	596	3150	16
139	789	2816	2
139	1314	1239	16
139	1535	1492	16
139	1603	1687	2
139	1612	1633	2
139	1648	1327	8
139	2042	2046	16
139	2346	2254	16
139	2375	2252	2
139	2821	178	8
139	2821	1262	2
139	3004	880	2
139	3077	3074	8
140	182	1241	8
140	262	62	8
140	262	1059	8
140	262	1413	8
140	473	379	8
140	473	418	8
140	473	452	18
140	596	1454	16
140	596	1641	8
140	596	3087	8
140	789	1557	16
140	789	1792	8
140	791	838	8
140	1165	1162	8
140	1612	1600	16
140	1648	1629	16
140	2044	2040	16
140	2331	2388	2
140	2533	2312	2
140	2821	1540	16
140	3205	3193	8
141	262	274	2
141	262	1313	16
141	473	343	16
141	596	272	16
141	596	577	8
141	596	1158	16
141	626	959	8
141	1129	1122	16
141	1191	1193	16
141	1488	796	16
141	1738	1730	8
141	2042	1771	2
141	2042	2579	16
141	3004	2992	10
141	3181	892	18
141	3181	1057	8
141	3181	1414	16
141	3181	2965	2
142	182	176	8
142	192	187	8
142	247	261	2
142	473	487	16
142	473	641	16
142	596	1785	10
142	596	1882	16
142	596	2694	8
142	596	2838	2
142	753	828	16
142	1216	759	8
142	1595	1662	16
142	1612	1579	8
142	1612	1610	16
142	1648	1583	16
142	1648	1667	16
142	2042	1918	16
142	3041	3052	8
142	3046	2581	8
142	3099	924	2
142	3179	3177	8
143	262	129	16
143	262	582	16
143	262	1086	8
143	473	349	16
143	473	381	8
143	473	427	2
143	473	3060	16
143	473	3111	8
143	538	1183	8
143	596	767	2
143	596	1208	2
143	789	1526	8
143	1090	1049	16
143	1238	1427	16
143	1475	1554	2
143	1684	2997	16
143	1718	1716	16
143	1990	1959	16
143	2034	1949	8
143	2034	2023	16
143	2042	1962	8
143	2044	1950	2
143	2511	1486	8
143	3046	3063	8
143	3127	2789	16
144	90	85	16
144	262	156	16
144	458	334	2
144	473	323	16
144	473	330	16
144	473	437	8
144	473	3056	16
144	538	543	16
144	596	842	8
144	596	866	16
144	596	961	16
144	596	1149	10
144	635	219	8
144	649	2810	8
144	1125	372	8
144	1314	1273	8
144	1314	1285	8
144	1314	1291	2
144	1479	1482	8
144	1603	1581	16
144	1612	1639	8
144	1612	1660	16
144	1936	2006	2
144	2057	2507	2
144	2821	552	2
144	2821	1149	16
144	3046	3043	16
144	3099	2573	2
145	262	33	2
145	262	114	16
145	262	131	24
145	473	355	2
145	473	395	10
145	473	468	16
145	596	963	24
145	1475	137	2
145	1535	40	2
145	1784	1786	16
145	2042	633	2
145	2305	3227	2
145	2682	2747	8
145	2966	2958	2
145	2979	2995	18
145	3086	149	8
145	3181	70	2
145	3250	632	8
146	262	581	2
146	262	2964	16
146	473	432	2
146	473	1079	2
146	538	522	16
146	538	548	16
146	791	1517	8
146	1238	1240	8
146	1314	1269	8
146	1535	826	2
146	1535	1805	2
146	1589	1672	16
146	1595	1678	8
146	1612	1582	16
146	1648	1624	16
146	1738	2833	16
146	1961	1944	16
146	2694	2744	16
146	2821	3114	2
146	3046	3049	16
147	262	1081	16
147	262	2963	2
147	412	329	16
147	473	388	16
147	473	450	2
147	538	532	8
147	596	793	2
147	596	1607	2
147	712	692	8
147	753	857	8
147	1129	1124	10
147	1603	1605	8
147	1612	1614	16
147	1612	1673	8
147	2042	2028	16
147	2044	2028	16
147	2053	2054	16
147	2571	2549	8
147	2571	2556	16
147	3093	2900	2
148	11	1	16
148	182	200	16
148	538	572	2
148	712	708	16
148	789	138	16
148	1535	32	16
148	1603	1573	16
148	1612	2917	16
148	1684	1659	2
148	2694	2746	16
148	2803	1421	2
148	3106	3139	2
149	262	130	8
149	262	1112	16
149	473	436	16
149	473	480	2
149	1314	1301	16
149	1377	1400	10
149	1426	1408	8
149	1603	1685	16
149	1615	1631	16
149	1967	2021	2
149	2366	2207	16
149	2518	2308	2
149	2648	2602	8
149	2821	1301	8
149	2884	821	2
149	3181	891	8
150	192	168	16
150	262	59	16
150	473	399	2
150	473	442	16
150	473	2872	2
150	538	1779	16
150	1129	1134	2
150	1216	1799	2
150	1238	1296	16
150	1314	1237	16
150	1314	1280	2
150	1612	1134	16
150	1615	1650	16
150	1684	1658	16
150	2244	2059	8
150	2511	3129	16
150	2518	2394	2
150	2873	734	16
151	11	7	8
151	192	174	2
151	262	270	16
151	262	2932	16
151	473	341	8
151	473	365	8
151	538	539	8
151	538	547	8
151	538	1912	16
151	635	637	2
151	735	1777	8
151	837	2552	8
151	1358	1355	16
151	1479	1481	8
151	1564	1567	2
151	1595	1665	2
151	1890	1796	8
151	1890	1912	16
151	1937	1970	2
151	2979	2986	16
151	3046	3040	8
151	3127	1107	2
151	3135	3102	2
151	3181	975	2
151	3181	2938	16
152	187	1287	8
152	473	340	8
152	473	479	16
152	473	1831	8
152	538	550	8
152	927	1928	2
152	1090	1042	2
152	1125	1127	16
152	1315	1316	2
152	1503	1791	2
152	1648	865	16
152	1648	3235	2
152	1738	1736	2
152	2744	2698	8
152	2821	333	2
152	2821	1913	16
152	2979	2974	8
152	2979	2989	16
152	2979	2999	16
152	3046	3048	16
153	186	172	8
153	262	2831	8
153	473	411	16
153	473	414	2
153	538	1044	16
153	748	659	8
153	753	1210	8
153	960	2870	16
153	1053	1054	16
153	1238	1279	16
153	1562	1558	8
153	1738	1725	16
153	2571	2551	16
153	2821	1305	2
153	2821	3159	16
153	2979	2981	2
153	2979	2996	16
153	3242	2608	8
154	90	89	10
154	256	121	8
154	262	246	2
154	262	1740	16
154	262	2953	16
154	276	741	16
154	315	351	8
154	458	421	2
154	791	140	2
154	1238	1274	16
154	1238	1309	16
154	1314	1276	16
154	1535	1445	2
154	1564	957	16
154	1603	3029	16
154	1612	1608	16
154	1615	1656	16
154	1648	1591	16
154	1648	1656	16
154	1890	1907	8
154	2204	2280	8
154	2346	2490	8
154	2429	2496	16
154	2979	3000	8
154	3046	3051	2
154	3046	3054	2
154	3135	3112	16
155	11	6	2
155	182	2819	8
155	247	1056	8
155	262	1793	16
155	458	371	2
155	475	463	2
155	615	2975	2
155	1090	1076	8
155	1090	1077	16
155	1314	1288	16
155	1314	1302	16
155	1409	1424	16
155	1589	1637	2
155	1648	1628	8
155	1720	954	16
155	1738	1360	16
155	1890	1910	16
155	2346	2097	8
155	2803	1762	8
155	2828	2823	2
155	2979	2978	16
155	3224	3226	16
156	262	38	8
156	262	1770	8
156	262	2931	16
156	262	2950	16
156	473	443	16
156	473	3104	16
156	635	630	16
156	1090	1041	8
156	1479	1485	8
156	1589	1611	8
156	1595	1664	16
156	1603	1587	2
156	1612	1320	2
156	1648	1320	8
156	1784	2941	16
156	1936	2047	16
156	1979	1995	8
156	2821	1089	16
157	137	134	16
157	262	164	8
157	473	311	16
157	473	428	2
157	748	929	8
157	1173	1168	2
157	1409	1425	16
157	1409	2862	16
157	1426	1425	16
157	1479	1480	2
157	1482	1484	16
157	1535	199	2
157	1595	1652	2
157	1612	1693	8
157	2821	500	16
157	2979	2994	2
157	2979	3001	2
157	3181	673	2
157	3204	2894	8
158	262	1741	8
158	473	387	8
158	473	400	2
158	476	368	8
158	538	1073	2
158	1146	1142	2
158	1205	1207	2
158	1358	1357	8
158	1409	1410	16
158	1409	1415	16
158	1479	1478	2
158	1571	1602	16
158	2511	643	8
158	2511	2134	8
158	2511	2483	16
158	2571	2563	16
158	3046	3047	8
159	103	102	8
159	182	1926	8
159	228	226	2
159	228	241	8
159	262	265	18
159	458	416	8
159	473	396	8
159	473	416	2
159	512	503	2
159	538	1926	16
159	712	686	16
159	750	1507	8
159	1094	1062	16
159	1426	1411	2
159	1475	273	16
159	1479	1483	16
159	1535	1523	2
159	1603	1626	16
159	1615	1674	16
159	1758	1750	2
159	1855	1895	8
159	2511	858	2
159	2979	2984	8
159	3224	3221	8
160	473	359	2
160	473	419	16
160	538	667	16
160	626	829	24
160	743	3100	2
160	1090	1040	2
160	1196	1197	16
160	1238	1278	2
160	1262	1233	16
160	1314	1303	8
160	1612	1747	8
160	1612	3076	8
160	1648	1551	2
160	2979	3002	8
160	3046	3039	2
160	3057	3039	16
160	3242	2588	2
161	279	2797	8
161	473	2799	8
161	538	578	8
161	626	640	16
161	712	691	8
161	1173	1170	16
161	1612	1190	2
161	1648	918	16
161	1684	1601	2
161	1784	109	16
161	3099	2854	16
161	3173	3171	2
161	3181	2829	8
162	262	110	2
162	473	354	2
162	473	488	16
162	538	1840	16
162	712	698	2
162	712	699	16
162	837	1911	8
162	1129	1131	2
162	1184	644	2
162	1314	1294	16
162	1589	1638	8
162	1612	936	2
162	1648	1654	2
162	1684	1653	18
162	1890	2576	16
162	2001	1398	16
162	2429	2276	16
162	2975	2987	8
162	2979	2987	16
162	3046	715	16
162	3093	516	8
162	3181	2972	2
163	262	25	8
163	473	1442	16
